symbol,company,index_membership,sector,sector_theme,government_investment_theme,government_investment_gate,government_investment_note,overall_score_100,technical_component_30,fundamental_component_35,theme_component_20,risk_component_15,decision_bucket,trigger_state,stage,stage_source,stage2_gate,growth_gate,high_eps_gate,yoy_sales_gate,theme_gate,liquidity_gate,freshness_gate,latest_price,sma50,sma200,distance_52w_high_pct,six_month_return_pct,one_year_return_pct,technical_score,rsi,relative_strength,trend_signal,trading_signal,enhanced_fund_score,earnings_quality,eps_growth_proxy,sales_growth,financial_strength,can_slim_score,minervini_score,trading_value_cr,source_score_date,source_trail,blockers
OFSS,OFSS,NIFTY 200; NIFTY 500; NIFTY LARGEMIDCAP 250; NIFTY MIDCAP 100; NIFTY MIDCAP 150; NIFTY MIDCAP 50,IT / Digital,Digital infrastructure and enterprise technology,Digital infrastructure,PASS,Digital public infrastructure and enterprise digitisation,84.1,30,30.1,19.0,5.0,CORE CANDIDATE,WAIT,STAGE_2,yfinance daily history,PASS,PASS,PASS,PASS,PASS,WATCH,REFRESH_REQUIRED,11800.0,11254.35,8844.74,-0.81,78.46,40.97,94.87,51.6,89.2045,BULLISH,BUY,80.73,78.75,78.75,75.00,93.50,9.00,20.00,0.0,2026-08-14,reports/generated_csv/2026/comprehensive_nse_enhanced_20260817.csv; data/index_stock_mapping.csv; Union Budget 2026-27 highlights: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2221455; Budget speech: https://www.indiabudget.gov.in/doc/budget_speech.pdf; Capital goods/public capex: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2222521; Infrastructure: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2270740; Defence budget: https://www.pib.gov.in/PressReleaseDetail.aspx?PRID=2221612,FUNDAMENTAL_REFRESH_REQUIRED
SONACOMS,SONACOMS,NIFTY 200; NIFTY 500; NIFTY LARGEMIDCAP 250; NIFTY MIDCAP 100; NIFTY MIDCAP 150,Auto / Auto Components,"Mobility, EV ancillaries and component localisation",EV and mobility,PASS,"EV ecosystem, auto components, clean mobility",82.7,30,29.7,18.0,5.0,CORE CANDIDATE,WAIT,STAGE_2,yfinance daily history,PASS,PASS,PASS,PASS,PASS,WATCH,REFRESH_REQUIRED,795.0,720.94,575.81,-3.52,46.68,76.53,93.77,51.2,92.3864,BULLISH,BUY,78.78,71.25,71.25,87.50,85.00,15.00,10.00,0.0,2026-08-14,reports/generated_csv/2026/comprehensive_nse_enhanced_20260817.csv; data/index_stock_mapping.csv; Union Budget 2026-27 highlights: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2221455; Budget speech: https://www.indiabudget.gov.in/doc/budget_speech.pdf; Capital goods/public capex: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2222521; Infrastructure: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2270740; Defence budget: https://www.pib.gov.in/PressReleaseDetail.aspx?PRID=2221612,FUNDAMENTAL_REFRESH_REQUIRED
NYKAA,NYKAA,NIFTY 200; NIFTY 500; NIFTY LARGEMIDCAP 250; NIFTY MIDCAP 100; NIFTY MIDCAP 150,IT / Digital,Digital infrastructure and enterprise technology,Digital infrastructure,PASS,Digital public infrastructure and enterprise digitisation,80.6,28.1,29.6,18.0,5.0,CORE CANDIDATE,WAIT,STAGE_2,yfinance daily history,PASS,PASS,PASS,PASS,PASS,WATCH,REFRESH_REQUIRED,340.0,322.79,275.31,-1.42,27.52,45.4,93.24,57.6,82.6136,BULLISH,BUY,81.37,85.00,85.00,90.00,64.33,11.00,6.00,0.0,2026-08-14,reports/generated_csv/2026/comprehensive_nse_enhanced_20260817.csv; data/index_stock_mapping.csv; Union Budget 2026-27 highlights: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2221455; Budget speech: https://www.indiabudget.gov.in/doc/budget_speech.pdf; Capital goods/public capex: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2222521; Infrastructure: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2270740; Defence budget: https://www.pib.gov.in/PressReleaseDetail.aspx?PRID=2221612,FUNDAMENTAL_REFRESH_REQUIRED
OBEROIRLTY,OBEROIRLTY,NIFTY 200; NIFTY 500; NIFTY LARGEMIDCAP 250; NIFTY MIDCAP 100; NIFTY MIDCAP 150; NIFTY MIDCAP 50,Housing,"Housing, building materials and urban infrastructure",Housing and urban infra,PASS,"Housing, urban infrastructure, building materials",79.4,27.6,27.8,19.0,5.0,WATCH / PREPARE,WAIT,STAGE_2,yfinance daily history,PASS,PASS,PASS,PASS,PASS,WATCH,REFRESH_REQUIRED,1870.0,1834.21,1667.8,-4.27,23.69,15.52,75.58,64.0,74.5076,NEUTRAL,HOLD,77.78,76.25,76.25,75.00,80.00,6.00,8.00,0.0,2026-08-14,reports/generated_csv/2026/comprehensive_nse_enhanced_20260817.csv; data/index_stock_mapping.csv; Union Budget 2026-27 highlights: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2221455; Budget speech: https://www.indiabudget.gov.in/doc/budget_speech.pdf; Capital goods/public capex: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2222521; Infrastructure: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2270740; Defence budget: https://www.pib.gov.in/PressReleaseDetail.aspx?PRID=2221612,FUNDAMENTAL_REFRESH_REQUIRED
KEI,KEI,NIFTY 200; NIFTY 500; NIFTY LARGEMIDCAP 250; NIFTY MIDCAP 100; NIFTY MIDCAP 150,Housing,"Housing, building materials and urban infrastructure",Housing and urban infra,PASS,"Housing, urban infrastructure, building materials",78.8,24.3,31.4,18.0,5.0,WATCH / PREPARE,WAIT,STAGE_2,yfinance daily history,PASS,PASS,PASS,PASS,PASS,WATCH,REFRESH_REQUIRED,5540.0,5319.96,4753.54,-5.67,12.06,43.39,81.99,47.3,70.3788,BULLISH,BUY,84.78,83.75,83.75,87.50,90.00,7.00,10.00,0.0,2026-08-14,reports/generated_csv/2026/comprehensive_nse_enhanced_20260817.csv; data/index_stock_mapping.csv; Union Budget 2026-27 highlights: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2221455; Budget speech: https://www.indiabudget.gov.in/doc/budget_speech.pdf; Capital goods/public capex: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2222521; Infrastructure: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2270740; Defence budget: https://www.pib.gov.in/PressReleaseDetail.aspx?PRID=2221612,FUNDAMENTAL_REFRESH_REQUIRED
COFORGE,COFORGE,NIFTY 200; NIFTY 500; NIFTY LARGEMIDCAP 250; NIFTY MIDCAP 100; NIFTY MIDCAP 150; NIFTY MIDCAP 50; NIFTY MIDCAP SELECT,IT / Digital,Digital infrastructure and enterprise technology,Digital infrastructure,PASS,Digital public infrastructure and enterprise digitisation,76.6,29.4,22.2,20,5.0,WATCH / PREPARE,WAIT,STAGE_2,yfinance daily history,PASS,WATCH,PASS,PASS,PASS,WATCH,REFRESH_REQUIRED,1880.0,1624.29,1517.88,-4.95,55.0,8.22,71.97,66.9,93.4091,NEUTRAL,HOLD,10.00,88.25,88.25,92.50,84.00,15.00,8.00,0.0,2026-08-14,reports/generated_csv/2026/comprehensive_nse_enhanced_20260817.csv; data/index_stock_mapping.csv; Union Budget 2026-27 highlights: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2221455; Budget speech: https://www.indiabudget.gov.in/doc/budget_speech.pdf; Capital goods/public capex: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2222521; Infrastructure: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2270740; Defence budget: https://www.pib.gov.in/PressReleaseDetail.aspx?PRID=2221612,FUNDAMENTAL_REFRESH_REQUIRED
KALYANKJIL,KALYANKJIL,NIFTY 200; NIFTY 500; NIFTY LARGEMIDCAP 250; NIFTY MIDCAP 100; NIFTY MIDCAP 150,Consumer Durables,Premiumisation and household consumption,No direct government-investment tag,NONE,Theme is primarily private demand or company-specific,76.0,30,31.0,10.0,5.0,WATCH / PREPARE,WAIT,STAGE_2,yfinance daily history,PASS,PASS,PASS,PASS,PASS,WATCH,REFRESH_REQUIRED,610.6,521.79,447.62,-3.78,50.51,19.69,83.73,57.9,98.4091,NEUTRAL,HOLD,84.61,85.00,85.00,95.00,71.67,13.00,6.00,0.0,2026-08-14,reports/generated_csv/2026/comprehensive_nse_enhanced_20260817.csv; data/index_stock_mapping.csv; Union Budget 2026-27 highlights: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2221455; Budget speech: https://www.indiabudget.gov.in/doc/budget_speech.pdf; Capital goods/public capex: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2222521; Infrastructure: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2270740; Defence budget: https://www.pib.gov.in/PressReleaseDetail.aspx?PRID=2221612,FUNDAMENTAL_REFRESH_REQUIRED; NO_GOVERNMENT_INVESTMENT_CONFIRMATION
PAYTM,PAYTM,NIFTY 200; NIFTY 500; NIFTY LARGEMIDCAP 250; NIFTY MIDCAP 100; NIFTY MIDCAP 150; NIFTY MIDCAP 50,Financial Services,"Credit, insurance, wealth and capital-market participation",Digital infrastructure,PASS,Digital public infrastructure and enterprise digitisation,75.8,27.0,26.8,19.0,3.0,RETEST ONLY,WAIT,STAGE_2,yfinance daily history,PASS,PASS,PASS,PASS,PASS,WATCH,REFRESH_REQUIRED,1716.0,1359.45,1221.84,-0.12,51.43,39.42,70.06,77.3,93.4848,NEUTRAL,HOLD,77.06,81.67,81.67,72.50,62.33,15.00,6.00,0.0,2026-08-14,reports/generated_csv/2026/comprehensive_nse_enhanced_20260817.csv; data/index_stock_mapping.csv; Union Budget 2026-27 highlights: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2221455; Budget speech: https://www.indiabudget.gov.in/doc/budget_speech.pdf; Capital goods/public capex: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2222521; Infrastructure: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2270740; Defence budget: https://www.pib.gov.in/PressReleaseDetail.aspx?PRID=2221612,FUNDAMENTAL_REFRESH_REQUIRED; EXTENDED_RSI_RETEST_ONLY
UNOMINDA,UNOMINDA,NIFTY 500; NIFTY LARGEMIDCAP 250; NIFTY MIDCAP 150,Auto / Auto Components,"Mobility, EV ancillaries and component localisation",EV and mobility,PASS,"EV ecosystem, auto components, clean mobility",75.1,22.9,31.2,16.0,5.0,WATCH / PREPARE,WAIT,STAGE_2,yfinance daily history,PASS,PASS,PASS,PASS,PASS,WATCH,REFRESH_REQUIRED,1260.0,1179.6,1172.17,-7.78,3.47,-2.75,72.75,43.8,68.9773,NEUTRAL,HOLD,81.70,81.25,81.25,87.50,74.00,9.00,12.00,0.0,2026-08-14,reports/generated_csv/2026/comprehensive_nse_enhanced_20260817.csv; data/index_stock_mapping.csv; Union Budget 2026-27 highlights: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2221455; Budget speech: https://www.indiabudget.gov.in/doc/budget_speech.pdf; Capital goods/public capex: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2222521; Infrastructure: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2270740; Defence budget: https://www.pib.gov.in/PressReleaseDetail.aspx?PRID=2221612,FUNDAMENTAL_REFRESH_REQUIRED
MEDANTA,MEDANTA,NIFTY 500; NIFTY LARGEMIDCAP 250; NIFTY MIDCAP 150,Healthcare,"Healthcare services, hospitals and diagnostics",No direct government-investment tag,NONE,Theme is primarily private demand or company-specific,73.4,28.0,32.4,8.0,5.0,WATCH / PREPARE,WAIT,STAGE_2,yfinance daily history,PASS,PASS,PASS,PASS,PASS,WATCH,REFRESH_REQUIRED,1458.9,1370.76,1205.1,-1.17,26.87,4.21,76.02,52.7,75.0379,NEUTRAL,HOLD,80.73,83.75,83.75,85.00,76.67,9.00,15.00,0.0,2026-08-14,reports/generated_csv/2026/comprehensive_nse_enhanced_20260817.csv; data/index_stock_mapping.csv; Union Budget 2026-27 highlights: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2221455; Budget speech: https://www.indiabudget.gov.in/doc/budget_speech.pdf; Capital goods/public capex: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2222521; Infrastructure: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2270740; Defence budget: https://www.pib.gov.in/PressReleaseDetail.aspx?PRID=2221612,FUNDAMENTAL_REFRESH_REQUIRED; NO_GOVERNMENT_INVESTMENT_CONFIRMATION
