symbol,company,bucket,policy_score_100,policy_rating,theme_lens,reference_price,latest_price,latest_pct_change,move_vs_reference_pct,day_high,day_low,volume_shares,quote_as_of,quote_source,breakout_level,retest_level,stop_price,target_2r_price,distance_to_breakout_pct,distance_above_retest_pct,distance_above_stop_pct,paper_quantity_by_policy,paper_position_value_reference,paper_position_value_latest,shadow_pnl,shadow_pnl_pct_nav,paper_risk_to_stop,trigger_state,trigger_note,evidence_blockers,next_action
SYRMA,Syrma SGS Technology Ltd,Clean trigger map,80.8,Core Candidate,India EMS and manufacturing scale-up,1418.0,1439.3,0.1,1.50211565585332,1449.0,1421.1,603250,22-Aug-2026 14:47:41,yfinance (NSE),1532.88,1379.22,1316.69,1620.62,6.501771694573755,4.356085323588688,9.311986876181933,14,19852.0,20150.2,298.19999999999936,0.05963999999999988,1418.34,NO_TRIGGER_WAIT,No mapped breakout/retest trigger has confirmed.,GOVERNANCE_REVIEW_PENDING,"Complete governance/filing review, then wait for breakout-retest or pullback trigger."
AEGISVOPAK,Aegis Vopak Terminals Limited,Clean trigger map,73.2,Active Watch,"Energy storage, terminals, and logistics infrastructure",288.7,276.3,3.48,-4.295116037409064,277.85,266.75,850492,22-Aug-2026 14:47:43,yfinance (NSE),314.6,289.32,259.83,346.44,13.861744480636995,-4.500207382828691,6.338759958434381,51,14723.7,14091.300000000001,-632.3999999999988,-0.1264799999999998,1472.37,RETEST_UNDER_PRESSURE,Retest zone was lost intraday; no order.,GOVERNANCE_REVIEW_PENDING,"Complete governance/filing review, then wait for breakout-retest or pullback trigger."
KARURVYSYA,Karur Vysya Bank Limited,Clean trigger map,71.5,Active Watch,Private-bank credit cycle and regional lending franchise,337.5,335.5,0.42,-0.592592592592589,336.9,333.15,785399,22-Aug-2026 14:47:43,yfinance (NSE),355.32,327.74,302.9,406.7,5.907600596125184,2.3677305180936026,10.762627930009906,44,14850.0,14762.0,-88.0,-0.0176,1522.4,NO_TRIGGER_WAIT,No mapped breakout/retest trigger has confirmed.,GOVERNANCE_REVIEW_PENDING; WATCH_THIN_CURRENT_VOLUME,"Complete governance/filing review, then wait for breakout-retest or pullback trigger."
VMART,V-Mart Retail Ltd.,Clean trigger map,67.1,Active Watch,Value retail and discretionary consumption recovery,813.9,838.85,4.56,3.0654871605848344,860.0,801.7,612849,22-Aug-2026 14:47:44,yfinance (NSE),896.88,762.24,740.25,961.2,6.917804136615602,10.050640218303952,13.319824383654177,18,14650.2,15099.300000000001,449.1000000000008,0.08982000000000016,1325.7,NO_TRIGGER_WAIT,No mapped breakout/retest trigger has confirmed.,GOVERNANCE_REVIEW_PENDING,"Complete governance/filing review, then wait for breakout-retest or pullback trigger."
FIVESTAR,Five Star Business Finance Ltd,Clean trigger map,65.7,Active Watch,Secured MSME and small-business NBFC lending,553.25,520.95,-1.23,-5.838228648892896,529.9,518.6,189195,22-Aug-2026 14:47:45,yfinance (NSE),802.39,550.36,504.54,650.67,54.024378539207206,-5.343774983647065,3.2524675942442682,27,14937.75,14065.650000000001,-872.0999999999988,-0.17441999999999977,1315.17,RETEST_UNDER_PRESSURE,Retest zone was lost intraday; no order.,GOVERNANCE_REVIEW_PENDING,"Complete governance/filing review, then wait for breakout-retest or pullback trigger."
SONACOMS,Sona BLW Precision Forgings Limited,Retest trigger map,74.0,Active Watch,EV and premium auto-component content,792.0,817.6,-0.52,3.232323232323231,822.05,802.2,1975313,22-Aug-2026 14:47:46,yfinance (NSE),832.85,727.07,712.8,950.4,1.8652152641878583,12.451345812645265,14.702581369248048,18,14256.0,14716.800000000001,460.8000000000004,0.09216000000000009,1425.6,NEAR_BREAKOUT_RETEST_ONLY,"Near breakout, but policy says retest-only/no-chase.",GOVERNANCE_REVIEW_PENDING; WATCH_EXTENDED_FROM_20DMA,Complete governance/filing review; retest-only because current setup is extended or flagged no-chase.
NETWEB,Netweb Technologies India Limited,Retest trigger map,73.0,Active Watch,"AI, HPC, and data-center infrastructure",4816.0,5601.0,3.34,16.299833887043192,5674.8,5360.0,4267482,22-Aug-2026 14:47:47,yfinance (NSE),5296.44,4402.31,4481.34,5485.32,-5.437600428494916,27.228659499217443,24.984937541003347,3,14448.0,16803.0,2355.0,0.471,1003.98,BREAKOUT_TOUCHED_BUT_RETEST_ONLY,"Breakout zone touched, but policy bucket remains retest-only/no-chase.",GOVERNANCE_REVIEW_PENDING; WATCH_EXTENDED_FROM_20DMA,Complete governance/filing review; retest-only because current setup is extended or flagged no-chase.
WELCORP,Welspun Corp Limited,Retest trigger map,72.3,Active Watch,Industrial pipes and energy infrastructure capex,1819.6,2311.9,15.3,27.055396790503416,2348.9,2133.0,19963038,22-Aug-2026 14:47:48,yfinance (NSE),1880.62,1661.64,1637.64,2183.52,-18.654786106665522,39.13362701908958,41.17266310055933,8,14556.8,18495.2,3938.4000000000015,0.7876800000000004,1455.68,BREAKOUT_TOUCHED_BUT_RETEST_ONLY,"Breakout zone touched, but policy bucket remains retest-only/no-chase.",GOVERNANCE_REVIEW_PENDING; WATCH_RSI_EXTENDED,Complete governance/filing review; retest-only because current setup is extended or flagged no-chase.
RAINBOW,Rainbow Childrens Medicare Limited,Retest trigger map,68.9,Active Watch,Specialty healthcare services and hospital capacity,1573.2,1433.2,-1.8,-8.89905924230867,1469.9,1424.6,86436,22-Aug-2026 14:47:49,yfinance (NSE),1626.1,1505.28,1429.07,1861.46,13.459391571308954,-4.788477891156462,0.28899913930038323,9,14158.8,12898.800000000001,-1260.0,-0.252,1297.17,STOP_ZONE_HIT,Latest day low breached or touched the mapped stop; candidate must be reviewed.,GOVERNANCE_REVIEW_PENDING; WATCH_AGENT_ADDA_EXTENDED,Complete governance/filing review; retest-only because current setup is extended or flagged no-chase.
WEWORK,Wework India Management Limited,Retest trigger map,66.9,Active Watch,Flexible workspace and managed office demand,748.2,682.9,-0.76,-8.7276129377172,697.0,676.5,131330,22-Aug-2026 14:47:50,yfinance (NSE),802.45,720.66,675.22,894.16,17.50622345877875,-5.239641439791298,1.1374070673261905,20,14964.0,13658.0,-1306.0000000000014,-0.26120000000000027,1459.6,RETEST_UNDER_PRESSURE,Retest zone was lost intraday; no order.,GOVERNANCE_REVIEW_PENDING; WATCH_AGENT_ADDA_EXTENDED,Complete governance/filing review; retest-only because current setup is extended or flagged no-chase.
