symbol,company,bucket,policy_score_100,policy_rating,theme_lens,reference_price,latest_price,latest_pct_change,move_vs_reference_pct,day_high,day_low,volume_shares,quote_as_of,quote_source,breakout_level,retest_level,stop_price,target_2r_price,distance_to_breakout_pct,distance_above_retest_pct,distance_above_stop_pct,paper_quantity_by_policy,paper_position_value_reference,paper_position_value_latest,shadow_pnl,shadow_pnl_pct_nav,paper_risk_to_stop,trigger_state,trigger_note,evidence_blockers,next_action
SYRMA,Syrma SGS Technology Ltd,Clean trigger map,80.8,Core Candidate,India EMS and manufacturing scale-up,1418.0,1465.2,-0.17,3.328631875881527,1506.7,1452.0,811337,16-Aug-2026 11:05:14,yfinance (NSE),1532.88,1379.22,1316.69,1620.62,4.6191646191646285,6.23395832427025,11.279040624596526,14,19852.0,20512.8,660.8000000000006,0.13216000000000014,1418.34,NO_TRIGGER_WAIT,No mapped breakout/retest trigger has confirmed.,GOVERNANCE_REVIEW_PENDING,"Complete governance/filing review, then wait for breakout-retest or pullback trigger."
AEGISVOPAK,Aegis Vopak Terminals Limited,Clean trigger map,73.2,Active Watch,"Energy storage, terminals, and logistics infrastructure",288.7,269.1,-0.88,-6.789054381711113,274.7,267.8,403221,16-Aug-2026 11:05:15,yfinance (NSE),314.6,289.32,259.83,346.44,16.90821256038648,-6.988801327250094,3.5677173536543316,51,14723.7,13724.1,-999.5999999999983,-0.19991999999999965,1472.37,RETEST_UNDER_PRESSURE,Retest zone was lost intraday; no order.,GOVERNANCE_REVIEW_PENDING,"Complete governance/filing review, then wait for breakout-retest or pullback trigger."
KARURVYSYA,Karur Vysya Bank Limited,Clean trigger map,71.5,Active Watch,Private-bank credit cycle and regional lending franchise,337.5,331.75,-1.18,-1.7037037037037073,336.2,331.1,687275,16-Aug-2026 11:05:16,yfinance (NSE),355.32,327.74,302.9,406.7,7.104747550866608,1.2235308476231221,9.524595576097727,44,14850.0,14597.0,-253.0,-0.050600000000000006,1522.4,NO_TRIGGER_WAIT,No mapped breakout/retest trigger has confirmed.,GOVERNANCE_REVIEW_PENDING; WATCH_THIN_CURRENT_VOLUME,"Complete governance/filing review, then wait for breakout-retest or pullback trigger."
VMART,V-Mart Retail Ltd.,Clean trigger map,67.1,Active Watch,Value retail and discretionary consumption recovery,813.9,807.5,0.02,-0.7863373878854829,810.8,797.2,68695,16-Aug-2026 11:05:17,yfinance (NSE),896.88,762.24,740.25,961.2,11.06873065015479,5.937762384550793,9.084768659236753,18,14650.2,14535.0,-115.19999999999959,-0.023039999999999918,1325.7,NO_TRIGGER_WAIT,No mapped breakout/retest trigger has confirmed.,GOVERNANCE_REVIEW_PENDING,"Complete governance/filing review, then wait for breakout-retest or pullback trigger."
FIVESTAR,Five Star Business Finance Ltd,Clean trigger map,65.7,Active Watch,Secured MSME and small-business NBFC lending,553.25,550.2,0.92,-0.551287844554893,552.95,535.1,336043,16-Aug-2026 11:05:18,yfinance (NSE),802.39,550.36,504.54,650.67,45.83605961468555,-0.029071880223852098,9.049827565703428,27,14937.75,14855.400000000001,-82.34999999999877,-0.016469999999999756,1315.17,RETEST_UNDER_PRESSURE,Retest zone was lost intraday; no order.,GOVERNANCE_REVIEW_PENDING,"Complete governance/filing review, then wait for breakout-retest or pullback trigger."
SONACOMS,Sona BLW Precision Forgings Limited,Retest trigger map,74.0,Active Watch,EV and premium auto-component content,792.0,792.0,-0.99,0.0,798.8,790.0,909039,16-Aug-2026 11:05:19,yfinance (NSE),832.85,727.07,712.8,950.4,5.157828282828292,8.930364339059516,11.111111111111116,18,14256.0,14256.0,0.0,0.0,1425.6,NO_TRIGGER_WAIT,No mapped breakout/retest trigger has confirmed.,GOVERNANCE_REVIEW_PENDING; WATCH_EXTENDED_FROM_20DMA,Complete governance/filing review; retest-only because current setup is extended or flagged no-chase.
NETWEB,Netweb Technologies India Limited,Retest trigger map,73.0,Active Watch,"AI, HPC, and data-center infrastructure",4816.0,5007.2,-3.35,3.970099667774085,5269.0,4991.3,1695255,16-Aug-2026 11:05:19,yfinance (NSE),5296.44,4402.31,4481.34,5485.32,5.776481866112793,13.74028634966642,11.73443657477451,3,14448.0,15021.599999999999,573.5999999999995,0.11471999999999988,1003.98,NO_TRIGGER_WAIT,No mapped breakout/retest trigger has confirmed.,GOVERNANCE_REVIEW_PENDING; WATCH_EXTENDED_FROM_20DMA,Complete governance/filing review; retest-only because current setup is extended or flagged no-chase.
WELCORP,Welspun Corp Limited,Retest trigger map,72.3,Active Watch,Industrial pipes and energy infrastructure capex,1819.6,1873.3,-0.62,2.9511980655088976,1896.0,1854.3,554562,16-Aug-2026 11:05:20,yfinance (NSE),1880.62,1661.64,1637.64,2183.52,0.39075428388404276,12.738017861871388,14.390220072787653,8,14556.8,14986.4,429.60000000000036,0.08592000000000007,1455.68,BREAKOUT_TOUCHED_NOT_CONFIRMED,Breakout level touched intraday but latest price is below trigger.,GOVERNANCE_REVIEW_PENDING; WATCH_RSI_EXTENDED,Complete governance/filing review; retest-only because current setup is extended or flagged no-chase.
RAINBOW,Rainbow Childrens Medicare Limited,Retest trigger map,68.9,Active Watch,Specialty healthcare services and hospital capacity,1573.2,1461.8,0.61,-7.081108568522765,1468.0,1414.5,230835,16-Aug-2026 11:05:21,yfinance (NSE),1626.1,1505.28,1429.07,1861.46,11.239567656314131,-2.888499149659862,2.2903006850609087,9,14158.8,13156.199999999999,-1002.6000000000008,-0.20052000000000017,1297.17,STOP_ZONE_HIT,Latest day low breached or touched the mapped stop; candidate must be reviewed.,GOVERNANCE_REVIEW_PENDING; WATCH_AGENT_ADDA_EXTENDED,Complete governance/filing review; retest-only because current setup is extended or flagged no-chase.
WEWORK,Wework India Management Limited,Retest trigger map,66.9,Active Watch,Flexible workspace and managed office demand,748.2,708.5,-1.53,-5.306067896284416,726.8,699.7,358599,16-Aug-2026 11:05:22,yfinance (NSE),802.45,720.66,675.22,894.16,13.260409315455203,-1.6873421585768544,4.928763958413551,20,14964.0,14170.0,-794.0000000000009,-0.15880000000000016,1459.6,RETEST_UNDER_PRESSURE,Retest zone was lost intraday; no order.,GOVERNANCE_REVIEW_PENDING; WATCH_AGENT_ADDA_EXTENDED,Complete governance/filing review; retest-only because current setup is extended or flagged no-chase.
