symbol,company,bucket,policy_score_100,policy_rating,theme_lens,reference_price,latest_price,latest_pct_change,move_vs_reference_pct,day_high,day_low,volume_shares,quote_as_of,quote_source,breakout_level,retest_level,stop_price,target_2r_price,distance_to_breakout_pct,distance_above_retest_pct,distance_above_stop_pct,paper_quantity_by_policy,paper_position_value_reference,paper_position_value_latest,shadow_pnl,shadow_pnl_pct_nav,paper_risk_to_stop,trigger_state,trigger_note,evidence_blockers,next_action
SYRMA,Syrma SGS Technology Ltd,Clean trigger map,80.8,Core Candidate,India EMS and manufacturing scale-up,1418.0,1494.6,-0.37,5.401974612129745,1514.6,1490.0,360586,19-Aug-2026 11:14:26,yfinance (NSE),1532.88,1379.22,1316.69,1620.62,2.561220393416308,8.365597946665492,13.511912447121176,14,19852.0,20924.399999999998,1072.3999999999987,0.21447999999999975,1418.34,NEAR_BREAKOUT,Within 3% of breakout; prepare trigger but no order yet.,GOVERNANCE_REVIEW_PENDING,"Complete governance/filing review, then wait for breakout-retest or pullback trigger."
AEGISVOPAK,Aegis Vopak Terminals Limited,Clean trigger map,73.2,Active Watch,"Energy storage, terminals, and logistics infrastructure",288.7,272.05,-1.0,-5.7672324211984645,277.8,272.05,139806,19-Aug-2026 11:14:27,yfinance (NSE),314.6,289.32,259.83,346.44,15.640507259694903,-5.969169086132997,4.703075087557251,51,14723.7,13874.550000000001,-849.1499999999988,-0.16982999999999976,1472.37,RETEST_UNDER_PRESSURE,Retest zone was lost intraday; no order.,GOVERNANCE_REVIEW_PENDING,"Complete governance/filing review, then wait for breakout-retest or pullback trigger."
KARURVYSYA,Karur Vysya Bank Limited,Clean trigger map,71.5,Active Watch,Private-bank credit cycle and regional lending franchise,337.5,330.15,-1.36,-2.1777777777777896,335.65,330.0,372689,19-Aug-2026 11:14:28,yfinance (NSE),355.32,327.74,302.9,406.7,7.62380736029078,0.735338988222356,8.996368438428526,44,14850.0,14526.599999999999,-323.400000000001,-0.0646800000000002,1522.4,NO_TRIGGER_WAIT,No mapped breakout/retest trigger has confirmed.,GOVERNANCE_REVIEW_PENDING; WATCH_THIN_CURRENT_VOLUME,"Complete governance/filing review, then wait for breakout-retest or pullback trigger."
VMART,V-Mart Retail Ltd.,Clean trigger map,67.1,Active Watch,Value retail and discretionary consumption recovery,813.9,807.7,0.09,-0.7617643445140598,815.0,799.7,12769,19-Aug-2026 11:14:29,yfinance (NSE),896.88,762.24,740.25,961.2,11.041228178779239,5.964000839630557,9.111786558595082,18,14650.2,14538.6,-111.59999999999877,-0.022319999999999753,1325.7,NO_TRIGGER_WAIT,No mapped breakout/retest trigger has confirmed.,GOVERNANCE_REVIEW_PENDING,"Complete governance/filing review, then wait for breakout-retest or pullback trigger."
FIVESTAR,Five Star Business Finance Ltd,Clean trigger map,65.7,Active Watch,Secured MSME and small-business NBFC lending,553.25,527.35,-1.49,-4.681427925892445,534.7,525.55,67703,19-Aug-2026 11:14:30,yfinance (NSE),802.39,550.36,504.54,650.67,52.155115198634675,-4.180899774692925,4.5209497760336115,27,14937.75,14238.45,-699.2999999999994,-0.13985999999999987,1315.17,RETEST_UNDER_PRESSURE,Retest zone was lost intraday; no order.,GOVERNANCE_REVIEW_PENDING,"Complete governance/filing review, then wait for breakout-retest or pullback trigger."
SONACOMS,Sona BLW Precision Forgings Limited,Retest trigger map,74.0,Active Watch,EV and premium auto-component content,792.0,824.4,0.05,4.090909090909078,829.75,816.5,674306,19-Aug-2026 11:14:31,yfinance (NSE),832.85,727.07,712.8,950.4,1.024987869966032,13.386606516566491,15.656565656565657,18,14256.0,14839.199999999999,583.1999999999996,0.11663999999999991,1425.6,NEAR_BREAKOUT_RETEST_ONLY,"Near breakout, but policy says retest-only/no-chase.",GOVERNANCE_REVIEW_PENDING; WATCH_EXTENDED_FROM_20DMA,Complete governance/filing review; retest-only because current setup is extended or flagged no-chase.
NETWEB,Netweb Technologies India Limited,Retest trigger map,73.0,Active Watch,"AI, HPC, and data-center infrastructure",4816.0,5123.5,-4.31,6.384966777408629,5338.0,5100.0,955969,19-Aug-2026 11:14:31,yfinance (NSE),5296.44,4402.31,4481.34,5485.32,3.375426954230498,16.382081225538393,14.329642473010296,3,14448.0,15370.5,922.5,0.1845,1003.98,BREAKOUT_TOUCHED_NOT_CONFIRMED,Breakout level touched intraday but latest price is below trigger.,GOVERNANCE_REVIEW_PENDING; WATCH_EXTENDED_FROM_20DMA,Complete governance/filing review; retest-only because current setup is extended or flagged no-chase.
WELCORP,Welspun Corp Limited,Retest trigger map,72.3,Active Watch,Industrial pipes and energy infrastructure capex,1819.6,1961.0,1.98,7.770938667839089,1984.0,1926.7,670308,19-Aug-2026 11:14:32,yfinance (NSE),1880.62,1661.64,1637.64,2183.52,-4.098929117797045,18.015936063166492,19.745487408710094,8,14556.8,15688.0,1131.2000000000007,0.22624000000000016,1455.68,BREAKOUT_TOUCHED_BUT_RETEST_ONLY,"Breakout zone touched, but policy bucket remains retest-only/no-chase.",GOVERNANCE_REVIEW_PENDING; WATCH_RSI_EXTENDED,Complete governance/filing review; retest-only because current setup is extended or flagged no-chase.
RAINBOW,Rainbow Childrens Medicare Limited,Retest trigger map,68.9,Active Watch,Specialty healthcare services and hospital capacity,1573.2,1458.7,0.19,-7.278159166031017,1464.4,1443.0,10811,19-Aug-2026 11:14:33,yfinance (NSE),1626.1,1505.28,1429.07,1861.46,11.475971755672854,-3.09444090136054,2.0733763916393366,9,14158.8,13128.300000000001,-1030.5,-0.20609999999999998,1297.17,RETEST_UNDER_PRESSURE,Retest zone was lost intraday; no order.,GOVERNANCE_REVIEW_PENDING; WATCH_AGENT_ADDA_EXTENDED,Complete governance/filing review; retest-only because current setup is extended or flagged no-chase.
WEWORK,Wework India Management Limited,Retest trigger map,66.9,Active Watch,Flexible workspace and managed office demand,748.2,691.85,-0.6,-7.531408714247534,697.4,686.0,23284,19-Aug-2026 11:14:34,yfinance (NSE),802.45,720.66,675.22,894.16,15.986124159861248,-3.997724308272965,2.46290098042119,20,14964.0,13837.0,-1127.0000000000005,-0.22540000000000007,1459.6,RETEST_UNDER_PRESSURE,Retest zone was lost intraday; no order.,GOVERNANCE_REVIEW_PENDING; WATCH_AGENT_ADDA_EXTENDED,Complete governance/filing review; retest-only because current setup is extended or flagged no-chase.
