symbol,company,bucket,policy_score_100,policy_rating,theme_lens,reference_price,latest_price,latest_pct_change,move_vs_reference_pct,day_high,day_low,volume_shares,quote_as_of,quote_source,breakout_level,retest_level,stop_price,target_2r_price,distance_to_breakout_pct,distance_above_retest_pct,distance_above_stop_pct,paper_quantity_by_policy,paper_position_value_reference,paper_position_value_latest,shadow_pnl,shadow_pnl_pct_nav,paper_risk_to_stop,trigger_state,trigger_note,evidence_blockers,next_action
SYRMA,Syrma SGS Technology Ltd,Clean trigger map,80.8,Core Candidate,India EMS and manufacturing scale-up,1418.0,1443.7,-3.62,1.812411847672779,1525.8,1415.7,1342031,20-Aug-2026 21:46:00,yfinance (NSE),1532.88,1379.22,1316.69,1620.62,6.1771836254069346,4.67510621945737,9.646158169348906,14,19852.0,20211.8,359.80000000000064,0.07196000000000012,1418.34,NO_TRIGGER_WAIT,No mapped breakout/retest trigger has confirmed.,GOVERNANCE_REVIEW_PENDING,"Complete governance/filing review, then wait for breakout-retest or pullback trigger."
AEGISVOPAK,Aegis Vopak Terminals Limited,Clean trigger map,73.2,Active Watch,"Energy storage, terminals, and logistics infrastructure",288.7,266.6,-1.31,-7.655005195704867,274.5,265.05,376066,20-Aug-2026 21:46:01,yfinance (NSE),314.6,289.32,259.83,346.44,18.004501125281315,-7.852896446840862,2.605549782550143,51,14723.7,13596.6,-1127.0999999999983,-0.22541999999999965,1472.37,RETEST_UNDER_PRESSURE,Retest zone was lost intraday; no order.,GOVERNANCE_REVIEW_PENDING,"Complete governance/filing review, then wait for breakout-retest or pullback trigger."
KARURVYSYA,Karur Vysya Bank Limited,Clean trigger map,71.5,Active Watch,Private-bank credit cycle and regional lending franchise,337.5,334.1,0.86,-1.0074074074074013,341.95,331.2,2334656,20-Aug-2026 21:46:03,yfinance (NSE),355.32,327.74,302.9,406.7,6.351391798862616,1.940562641117971,10.300429184549365,44,14850.0,14700.400000000001,-149.599999999999,-0.0299199999999998,1522.4,NO_TRIGGER_WAIT,No mapped breakout/retest trigger has confirmed.,GOVERNANCE_REVIEW_PENDING; WATCH_THIN_CURRENT_VOLUME,"Complete governance/filing review, then wait for breakout-retest or pullback trigger."
VMART,V-Mart Retail Ltd.,Clean trigger map,67.1,Active Watch,Value retail and discretionary consumption recovery,813.9,806.7,-0.4,-0.8846295613711641,815.0,801.6,59697,20-Aug-2026 21:46:05,yfinance (NSE),896.88,762.24,740.25,961.2,11.178876905912972,5.8328085642317395,8.97669706180344,18,14650.2,14520.6,-129.59999999999877,-0.025919999999999752,1325.7,NO_TRIGGER_WAIT,No mapped breakout/retest trigger has confirmed.,GOVERNANCE_REVIEW_PENDING,"Complete governance/filing review, then wait for breakout-retest or pullback trigger."
FIVESTAR,Five Star Business Finance Ltd,Clean trigger map,65.7,Active Watch,Secured MSME and small-business NBFC lending,553.25,527.45,2.02,-4.663352914595564,533.0,520.0,336533,20-Aug-2026 21:46:06,yfinance (NSE),802.39,550.36,504.54,650.67,52.12626789269124,-4.162729849553015,4.540769810124079,27,14937.75,14241.150000000001,-696.5999999999988,-0.13931999999999978,1315.17,RETEST_UNDER_PRESSURE,Retest zone was lost intraday; no order.,GOVERNANCE_REVIEW_PENDING,"Complete governance/filing review, then wait for breakout-retest or pullback trigger."
SONACOMS,Sona BLW Precision Forgings Limited,Retest trigger map,74.0,Active Watch,EV and premium auto-component content,792.0,821.9,-0.19,3.775252525252526,844.0,820.4,2824478,20-Aug-2026 21:46:07,yfinance (NSE),832.85,727.07,712.8,950.4,1.3322788660421025,13.042760669536623,15.305836139169472,18,14256.0,14794.199999999999,538.1999999999996,0.10763999999999993,1425.6,BREAKOUT_TOUCHED_NOT_CONFIRMED,Breakout level touched intraday but latest price is below trigger.,GOVERNANCE_REVIEW_PENDING; WATCH_EXTENDED_FROM_20DMA,Complete governance/filing review; retest-only because current setup is extended or flagged no-chase.
NETWEB,Netweb Technologies India Limited,Retest trigger map,73.0,Active Watch,"AI, HPC, and data-center infrastructure",4816.0,5419.8,7.0,12.537375415282392,5449.9,5093.0,4457089,20-Aug-2026 21:46:09,yfinance (NSE),5296.44,4402.31,4481.34,5485.32,-2.276098749031341,23.112638592011912,20.941504103683272,3,14448.0,16259.400000000001,1811.4000000000005,0.3622800000000001,1003.98,BREAKOUT_TOUCHED_BUT_RETEST_ONLY,"Breakout zone touched, but policy bucket remains retest-only/no-chase.",GOVERNANCE_REVIEW_PENDING; WATCH_EXTENDED_FROM_20DMA,Complete governance/filing review; retest-only because current setup is extended or flagged no-chase.
WELCORP,Welspun Corp Limited,Retest trigger map,72.3,Active Watch,Industrial pipes and energy infrastructure capex,1819.6,2005.2,1.68,10.200043965706751,2017.5,1968.2,748752,20-Aug-2026 21:46:10,yfinance (NSE),1880.62,1661.64,1637.64,2183.52,-6.212846598843013,20.6759586914133,22.444493295229705,8,14556.8,16041.6,1484.800000000001,0.2969600000000002,1455.68,BREAKOUT_TOUCHED_BUT_RETEST_ONLY,"Breakout zone touched, but policy bucket remains retest-only/no-chase.",GOVERNANCE_REVIEW_PENDING; WATCH_RSI_EXTENDED,Complete governance/filing review; retest-only because current setup is extended or flagged no-chase.
RAINBOW,Rainbow Childrens Medicare Limited,Retest trigger map,68.9,Active Watch,Specialty healthcare services and hospital capacity,1573.2,1453.5,-0.72,-7.608695652173914,1481.3,1444.0,90078,20-Aug-2026 21:46:12,yfinance (NSE),1626.1,1505.28,1429.07,1861.46,11.874785001719989,-3.439891581632648,1.709503383319233,9,14158.8,13081.5,-1077.3000000000004,-0.2154600000000001,1297.17,RETEST_UNDER_PRESSURE,Retest zone was lost intraday; no order.,GOVERNANCE_REVIEW_PENDING; WATCH_AGENT_ADDA_EXTENDED,Complete governance/filing review; retest-only because current setup is extended or flagged no-chase.
WEWORK,Wework India Management Limited,Retest trigger map,66.9,Active Watch,Flexible workspace and managed office demand,748.2,688.15,-0.51,-8.02592889601712,695.5,686.6,112769,20-Aug-2026 21:46:13,yfinance (NSE),802.45,720.66,675.22,894.16,16.60975078107971,-4.511142563760995,1.914931429756228,20,14964.0,13763.0,-1201.0000000000014,-0.24020000000000027,1459.6,RETEST_UNDER_PRESSURE,Retest zone was lost intraday; no order.,GOVERNANCE_REVIEW_PENDING; WATCH_AGENT_ADDA_EXTENDED,Complete governance/filing review; retest-only because current setup is extended or flagged no-chase.
