symbol,company,bucket,policy_score_100,policy_rating,theme_lens,reference_price,latest_price,latest_pct_change,move_vs_reference_pct,day_high,day_low,volume_shares,quote_as_of,quote_source,breakout_level,retest_level,stop_price,target_2r_price,distance_to_breakout_pct,distance_above_retest_pct,distance_above_stop_pct,paper_quantity_by_policy,paper_position_value_reference,paper_position_value_latest,shadow_pnl,shadow_pnl_pct_nav,paper_risk_to_stop,trigger_state,trigger_note,evidence_blockers,next_action
SYRMA,Syrma SGS Technology Ltd,Clean trigger map,80.8,Core Candidate,India EMS and manufacturing scale-up,1418.0,1489.3,2.01,5.02820874471086,1503.6,1472.0,358945,17-Aug-2026 10:09:44,yfinance (NSE),1532.88,1379.22,1316.69,1620.62,2.9262069428590776,7.981322776641875,13.109387934897354,14,19852.0,20850.2,998.1999999999994,0.19963999999999987,1418.34,NEAR_BREAKOUT,Within 3% of breakout; prepare trigger but no order yet.,GOVERNANCE_REVIEW_PENDING,"Complete governance/filing review, then wait for breakout-retest or pullback trigger."
AEGISVOPAK,Aegis Vopak Terminals Limited,Clean trigger map,73.2,Active Watch,"Energy storage, terminals, and logistics infrastructure",288.7,265.8,-1.23,-7.932109456182879,269.1,262.95,260747,17-Aug-2026 10:09:46,yfinance (NSE),314.6,289.32,259.83,346.44,18.359668924003003,-8.129406885109901,2.2976561597968015,51,14723.7,13555.800000000001,-1167.8999999999987,-0.23357999999999973,1472.37,RETEST_UNDER_PRESSURE,Retest zone was lost intraday; no order.,GOVERNANCE_REVIEW_PENDING,"Complete governance/filing review, then wait for breakout-retest or pullback trigger."
KARURVYSYA,Karur Vysya Bank Limited,Clean trigger map,71.5,Active Watch,Private-bank credit cycle and regional lending franchise,337.5,329.2,-0.62,-2.459259259259261,332.5,326.6,433517,17-Aug-2026 10:09:47,yfinance (NSE),355.32,327.74,302.9,406.7,7.9343863912515245,0.445475071703183,8.682733575437451,44,14850.0,14484.8,-365.2000000000005,-0.07304000000000009,1522.4,RETEST_TRIGGER_WATCH,Retest zone held so far; needs close/volume confirmation before order.,GOVERNANCE_REVIEW_PENDING; WATCH_THIN_CURRENT_VOLUME,"Complete governance/filing review, then wait for breakout-retest or pullback trigger."
VMART,V-Mart Retail Ltd.,Clean trigger map,67.1,Active Watch,Value retail and discretionary consumption recovery,813.9,799.25,-1.02,-1.7999754269566237,809.5,797.35,9012,17-Aug-2026 10:09:48,yfinance (NSE),896.88,762.24,740.25,961.2,12.21520175164217,4.855426112510486,7.970280310705835,18,14650.2,14386.5,-263.6999999999996,-0.05273999999999992,1325.7,NO_TRIGGER_WAIT,No mapped breakout/retest trigger has confirmed.,GOVERNANCE_REVIEW_PENDING,"Complete governance/filing review, then wait for breakout-retest or pullback trigger."
FIVESTAR,Five Star Business Finance Ltd,Clean trigger map,65.7,Active Watch,Secured MSME and small-business NBFC lending,553.25,541.5,-1.58,-2.123813827383647,549.0,537.05,61221,17-Aug-2026 10:09:50,yfinance (NSE),802.39,550.36,504.54,650.67,48.17913204062789,-1.6098553673958849,7.325484599833509,27,14937.75,14620.5,-317.25,-0.06344999999999999,1315.17,RETEST_UNDER_PRESSURE,Retest zone was lost intraday; no order.,GOVERNANCE_REVIEW_PENDING,"Complete governance/filing review, then wait for breakout-retest or pullback trigger."
SONACOMS,Sona BLW Precision Forgings Limited,Retest trigger map,74.0,Active Watch,EV and premium auto-component content,792.0,804.25,1.55,1.5467171717171713,808.5,795.75,461225,17-Aug-2026 10:09:51,yfinance (NSE),832.85,727.07,712.8,950.4,3.5561081753186174,10.61520898950581,12.829685746352414,18,14256.0,14476.5,220.5,0.0441,1425.6,NO_TRIGGER_WAIT,No mapped breakout/retest trigger has confirmed.,GOVERNANCE_REVIEW_PENDING; WATCH_EXTENDED_FROM_20DMA,Complete governance/filing review; retest-only because current setup is extended or flagged no-chase.
NETWEB,Netweb Technologies India Limited,Retest trigger map,73.0,Active Watch,"AI, HPC, and data-center infrastructure",4816.0,5172.5,3.37,7.402408637873759,5193.0,5008.3,599549,17-Aug-2026 10:09:52,yfinance (NSE),5296.44,4402.31,4481.34,5485.32,2.3961333977766897,17.49513323686882,15.423065422395975,3,14448.0,15517.5,1069.5,0.21389999999999998,1003.98,NEAR_BREAKOUT_RETEST_ONLY,"Near breakout, but policy says retest-only/no-chase.",GOVERNANCE_REVIEW_PENDING; WATCH_EXTENDED_FROM_20DMA,Complete governance/filing review; retest-only because current setup is extended or flagged no-chase.
WELCORP,Welspun Corp Limited,Retest trigger map,72.3,Active Watch,Industrial pipes and energy infrastructure capex,1819.6,1852.0,-0.8,1.7806111233238164,1875.0,1846.0,59715,17-Aug-2026 10:09:54,yfinance (NSE),1880.62,1661.64,1637.64,2183.52,1.5453563714902696,11.456151753689126,13.089567914804224,8,14556.8,14816.0,259.2000000000007,0.05184000000000014,1455.68,NEAR_BREAKOUT_RETEST_ONLY,"Near breakout, but policy says retest-only/no-chase.",GOVERNANCE_REVIEW_PENDING; WATCH_RSI_EXTENDED,Complete governance/filing review; retest-only because current setup is extended or flagged no-chase.
RAINBOW,Rainbow Childrens Medicare Limited,Retest trigger map,68.9,Active Watch,Specialty healthcare services and hospital capacity,1573.2,1464.2,0.51,-6.928553267226034,1484.9,1423.8,32823,17-Aug-2026 10:09:55,yfinance (NSE),1626.1,1505.28,1429.07,1861.46,11.057232618494739,-2.72906037414965,2.458242073516348,9,14158.8,13177.800000000001,-981.0,-0.1962,1297.17,STOP_ZONE_HIT,Latest day low breached or touched the mapped stop; candidate must be reviewed.,GOVERNANCE_REVIEW_PENDING; WATCH_AGENT_ADDA_EXTENDED,Complete governance/filing review; retest-only because current setup is extended or flagged no-chase.
WEWORK,Wework India Management Limited,Retest trigger map,66.9,Active Watch,Flexible workspace and managed office demand,748.2,718.6,1.43,-3.956161454156648,727.0,711.0,181605,17-Aug-2026 10:09:56,yfinance (NSE),802.45,720.66,675.22,894.16,11.668522126356805,-0.2858490827852167,6.424572731850353,20,14964.0,14372.0,-592.0000000000005,-0.11840000000000007,1459.6,RETEST_UNDER_PRESSURE,Retest zone was lost intraday; no order.,GOVERNANCE_REVIEW_PENDING; WATCH_AGENT_ADDA_EXTENDED,Complete governance/filing review; retest-only because current setup is extended or flagged no-chase.
